food_name,energy_kcal,carb_g,protein_g,fat_g,fibre_g
Lime,59,10.9,1.5,1,1.3
Loquat,43,9.6,0.6,0.3,0.8
"Mahua, ripe",111,22.7,1.4,1.6,0
Mulberry,49,10.3,1.1,0.4,1.1
Orange juice,9,1.9,0.2,0.1,0
Palmyra fruit ripe (mesocarp),87,20.7,0.7,0.2,0.5
Palmyra fruit tender,29,6.5,0.6,0.1,0.3
Passion fruit,54,12.4,0.9,0.1,9.6
Passion fruit juice,37,7.7,1.2,0.2,1.2
Persimmon,76,17.9,0.7,0.2,0.9
Prunes,56,12.8,0.5,0.3,0.5
Quince,50,11.9,0.3,0.1,1.7
Raspberry,56,11.7,1,0.6,1
Rose apple,39,8.5,0.7,0.2,1.2
Tomatillo,31,5.8,0.7,0.6,0.6
Tree tomato,35,6.7,1.5,0.2,4.2
Baincha,114,22.7,1.7,1.8,4.7
Bamboo fruit,153,34.2,3.9,0.1,3.9
Blackberry,37,6.7,1.3,0.5,3.8
Borooee,81,17.6,2,0.3,4.7
Carambola,28,6.1,0.7,0.1,0.8
Cherimoyer,89,20.2,1.3,0.3,1.5
Durian,183,34.1,2.8,3.9,0
Gab,113,26.6,1.4,0.1,1.5
Jurmata,195,43.3,4.8,0.3,3.4
Kesaur,75,17,1.6,0.1,0.6
Kila pazham,55,11.5,0.8,0.6,7.3
Kusum fruits,53,9.9,1.5,0.8,0.6
Langsat,44,9.5,0.8,0.3,2.3
"Matasura, whole fruit",59,10.6,1.9,1,13.1
"Matasura, skin and pulp",60,9.1,2.3,1.6,1.7
Mulchari,160,35.9,1.8,1,4.3
Neem fruit,75,15.1,1.3,1,0
Nisorha,65,12.2,1.8,1,0.3
Paniyala,83,19.9,0.5,0.1,1
Papa,182,34.9,3.7,3.1,9.5
Perar,56,12.5,1,0.2,3.9
Pipal tree figs,110,21.2,2.5,1.7,9.9
Piyal,94,19.5,2.2,0.8,1.5
Rayan,134,27.7,0.5,2.4,0
Sirk,158,33.3,3.2,1.3,4.9
Star apple,28,6.3,0.3,0.2,1
Thavittu pazham,47,10.7,0.6,0.2,5.6
Tumki,112,26.8,0.8,0.2,0.8
Vikki pazham,153,36.2,1.4,0.1,1.6
Blueberries,40,9.1,0.9,0.2,1.5
Cranberries,15,3.4,0.4,0.1,0
"Kiwi fruit, flesh only, raw",44,8.6,0.8,0.9,2.7
"Bananas, raw, flesh only, weighed with skin",51,12.8,0.8,0,0.9
"Cherries, West Indian, flesh only",24,5,0.4,0.4,0
"Redcurrants, raw",21,4.4,1.1,0,0
Sultanas,275,69.4,2.7,0.4,0
Amla,58,13.7,0.5,0.1,0
"Peaches, canned in syrup, whole contents",55,14,0.5,0,0
"Pears, canned in juice, whole contents",33,8.5,0.3,0,0
Currants,267,67.8,2.3,0.4,0
"Cherries, glace",294,78.1,0.4,0,0
"Raspberries, raw",52,11.9,1.2,0.65,6.5
DRIED MANGO,350,85,0,0,2.5
"Gooseberries, raw",44,10.2,0.88,0.58,4.3
"Fruit cocktail, canned in juice, whole contents",45,11.7,0.4,0,0
"Orange juice, freshly squeezed",33,8.1,0.6,0,0
"Lemons, flesh only, raw, weighed with peel and pips",9,1.4,0.5,0.2,0
Beet root (Beta vulgaris),35.61,6.18,1.95,0.14,3.31
"Carrot, orange (Daucus carota)",33.22,5.55,0.95,0.47,4.18
"Carrot, red (Daucus carota)",38.24,6.71,1.04,0.47,4.49
Colocasia (Colocasia esculenta),88.91,17.85,3.31,0.17,3.22
Lotus root (Nelumbium nelumbo),79.35,14.67,1.94,0.93,4.7
"Potato, brown skin, big (Solanum tuberosum)",69.79,14.89,1.54,0.23,1.71
"Potato, brown skin, small (Solanum tuberosum)",60.95,12.9,1.35,0.22,1.69
"Potato, red skin (Solanum tuberosum)",73.13,15.43,1.83,0.22,1.68
"Radish, elongate, red skin (Raphanus sativus)",32.03,6.71,0.67,0.13,2.46
"Radish, elongate, white skin (Raphanus sativus)",32.27,6.56,0.77,0.15,2.65
"Radish, round, red skin (Raphanus sativus)",31.07,6.07,0.89,0.16,2.29
"Radish, round, white skin (Raphanus sativus)",30.83,6.13,0.8,0.14,2.37
"Sweet potato, brown skin (Ipomoea batatas)",108.98,24.25,1.33,0.26,3.99
"Sweet potato, pink skin (Ipomoea batatas)",108.03,23.93,1.27,0.33,3.94
Tapioca (Manihot esculenta),79.83,17.81,1.03,0.2,4.61
Water Chestnut (Eleocharis dulcis),95.6,21.46,0.86,0.37,3.02
"Yam, elephant (Amorphophallus campanulatus)",84.37,17.46,2.56,0.14,4.17
"Yam, ordinary (Amorphophallus sp.)",83.41,17.65,2.18,0.17,4.08
"Yam, wild (Dioscorea villosa)",102.77,20.95,3.07,0.3,4.57
Arrow root flour,334,83.1,0.2,0.1,0
Banana rhizome,51,11.8,0.4,0.2,1.1
Khamalu,79,18.1,1.3,0.1,0.1
Parsnip,101,23.2,1.3,0.3,1.7
Radish pink,32,6.8,0.6,0.3,0.6
Radish rat-tailed,25,4.3,1.3,0.3,1.1
Radish table,16,3.2,0.5,0.1,0.6
Tapioca chips dried,338,82.6,1.3,0.3,1.8
Turnip,29,6.2,0.5,0.2,0.9
Bokwa,76,15.5,2.9,0.3,0.9
Budhia,126,29.9,0.7,0.4,1.6
Bid root,203,47.9,2.1,0.3,0.9
"Canna, edible",104,24,1.1,0.4,0.5
Chumbia,124,28.8,1.8,0.2,1.5
Churkia,59,12.8,1.6,0.1,1.2
Epidong sanga,17,1.7,2.2,0.2,2.7
Garwar,49,11.4,0.3,0.2,0
Jipoo sanga,22,4.6,0.6,0.1,0.4
Moor sanga,211,50,2.1,0.3,1.6
Murum sanga,65,14.7,1.4,0.1,0.7
Ochen sanga,37,7.6,1.5,0.1,1.1
Song,134,30.9,2.3,0.1,0.7
Turum sanga,123,28,1.9,0.4,1.6
"Water lily, red",193,43.3,4.1,0.3,1.5
"Water lily, white",142,31.7,3.1,0.3,1.1
"Turnip, flesh only, raw",23,4.7,0.9,0.3,0
"Chillies, green-1 (Capsicum annum)",45.65,6.32,2.62,0.73,4.86
"Chillies, green-2 (Capsicum annum)",39.91,5.27,2.28,0.75,5.13
"Chillies, green-3 (Capsicum annum)",40.39,5.23,2.38,0.75,5.1
"Chillies, green-4 (Capsicum annum)",45.41,6.63,2.33,0.74,4.15
"Chillies, green-5 (Capsicum annum)",43.02,6.64,2.01,0.65,3.95
"Chillies, green-6 (Capsicum annum)",41.83,5.31,3.01,0.64,5.15
"Chillies, green-7 (Capsicum annum)",38.96,5.61,2.12,0.6,4.95
"Chillies, green - all varieties (Capsicum annum)",42.3,5.86,2.36,0.72,4.77
Coriander leaves (Coriandrum sativum),31.07,1.93,3.52,0.7,4.66
Curry leaves (Murraya koenigii),63.57,4.51,7.41,1.06,16.83
"Garlic, big clove (Allium sativum)",123.8,21.93,6.92,0.16,5.22
"Garlic, small clove (Allium sativum)",122.85,21.84,6.75,0.14,5.47
"Garlic, single clove, Kashmir (Allium sativum)",125,23.46,6.12,0.16,4.01
"Ginger, fresh (Zingiber officinale)",54.97,8.97,2.22,0.85,5.36
Mango ginger (Curcuma amada),42.3,6.98,1.45,0.7,4.74
Mint leaves (Mentha spicata ),37.05,2.39,4.66,0.65,5.89
"Onion, big (Allium cepa)",48.04,9.56,1.5,0.24,2.45
"Onion, small (Allium cepa)",56.64,11.58,1.82,0.16,1.16
Asafoetida (Ferula assa-foetida),331.49,71.95,6.34,1.26,5.13
"Cardamom, green (Elettaria cardamomum)",255.01,47.76,8.1,2.6,23.1
"Cardamom, black (Elettaria cardamomum)",270.55,52.53,6.69,2.8,23.46
"Chillies, red (Capsicum annum)",236.61,29.46,12.69,6.4,31.15
Cloves (Syzygium aromaticum),186.66,18.73,5.86,8.41,34.52
Coriander seeds (Coriandrum sativum),268.88,12.98,10.66,17.47,44.81
Cumin seeds (Cuminum cyminum),304.49,22.62,13.91,16.64,30.35
Fenugreek seeds (Trigonella foenum graecum),234.94,10.57,25.41,5.72,47.55
Mace (Myristica fragrans),355.63,26.51,6.24,24.41,20.31
Nutmeg (Myristica fragrans),463.66,27.64,6.3,36.52,11.99
Omum (Trachyspermum ammi),357.31,24.53,15.89,21.11,20.58
Pippali (Piper longum),216.53,35.7,10.53,2.27,34.14
"Pepper, black (Piper nigrum)",217.49,36.22,10.12,2.74,33.16
Poppy seeds (Papaver somniferum),422.55,12.37,20.31,30.38,26.68
Turmeric powder (Curcuma domestica),280.59,49.22,7.66,5.03,21.38
Arisithippili,329,58.4,13.2,4.7,5.2
Chillies dry,246,31.6,15.9,6.2,30.2
Cloves green,159,24.1,2.3,5.9,0
Garlic dry,145,29.8,6.3,0.1,0.8
Lime peel,129,29.4,1.8,0.5,0
Mango powder,337,64,2.8,7.8,13.7
Nutmeg fruit,472,28.5,7.5,36.4,11.6
Nutmeg rind,52,11.2,1,0.4,0
Pepper green,98,13.7,4.8,2.7,6.4
"Spring onions, bulbs only, raw",35,8.5,0.9,0,0
"Agar, dried",16,0,1.3,1.2,0
Fennel seeds,0,0,15.8,14.9,0
"Basil, dried, ground",251,43.2,14.4,4,0
"Bay leaf, dried",313,48.6,7.6,8.4,0
Sesame seeds,598,0.9,18.2,58,0
Mixed curry spices,0,0,13.2,13.3,0
Chilli powder,0,0,13.5,14.3,34.8
Chilli sauce,40,7.3,1.3,0.8,2.2
"Cinnamon, ground",0,0,4,1.2,53.1
Curry powder,233,26.1,9.5,10.8,0
"Mixed herbs, dried",261,36.3,12.1,8.5,0
Garam masala,379,45.2,15.6,15.1,0
Garlic powder,246,42.7,18.7,1.2,0
"Rosemary, dried",331,46.4,4.9,15.2,42.6
"Oregano, dried, ground",0,0,9,4.3,42.5
"Pepper, white",0,0,10.4,2.1,26.2
Salt,0,0,0,0,0
Saffron,310,61.5,11.4,5.9,0
"Thyme, dried, ground",276,45.3,9.1,7.4,37
Vinegar,22,0.6,0.4,0,0
Mustard powder,452,20.7,28.9,28.7,0
Yeast extract,180,3.5,40.7,0.4,0
"SIVA'S, AMHUR POWDER (DRY MANGO POWDER)",360,90,0,0,20
AJWAIN SEED WHOLE ORGANIC SPICES,238,47.62,23.81,0,47.6
STAR ANISE,0,0,0,0,0
"Vinegar, distilled",18,0.04,0,0,0
BALSAMIC VINEGAR,100,20,0,0,0
HIMALAYAN BLACK SALT,0,0,0,0,0
MSG MONOSODIUM GLUTAMATE,0,0,0,0,0
"Capers, canned",23,4.89,2.36,0.86,3.2
RICE VINEGAR,0,0,0,0,0
Vanilla extract,288,12.6,0.06,0.06,0
Paprika,0,0,14.1,12.9,34.9
"Shallots, raw",20,3.3,1.5,0.2,0
"Spring onions, bulbs and tops, raw",23,3,2,0.5,0
"GINGER JUICE, GINGER",67,16.67,0,0,0
"Peppers, jalapeno, raw",29,6.5,0.91,0.37,2.8
"Lemon peel, raw",47,16,1.5,0.3,10.6
"Lemon grass (citronella), raw",99,25.3,1.82,0.49,0
"Orange peel, raw",97,25,1.5,0.2,10.6
"Ginger, ground",284,60,7.4,3.3,14.1
"Spices, onion powder",341,79.1,10.4,1.04,15.2
Almond (Prunus amygdalus),609.21,3.04,18.41,58.49,13.06
"Arecanut, dried, brown (Areca catechu)",350.61,70.42,5.78,4.35,11.44
"Arecanut, dried, red color (Areca catechu)",353,70.27,6.46,4.46,11.11
"Arecanut, fresh (Areca catechu)",244.74,45,2.73,5.51,7.63
Cashew nut (Anacardium occidentale),582.68,25.46,18.78,45.2,3.86
"Coconut, kernal, dry (Cocos nucifera)",624.03,8.01,7.27,63.26,15.88
"Coconut, kernel, fresh (Cocos nucifera)",408.93,6.3,3.84,41.38,10.42
"Garden cress, seeds (Lepidium sativum)",445.26,33.66,23.36,23.74,8.27
"Gingelly seeds, black (Sesamum indicum)",507.64,10.29,19.17,43.1,17.16
"Gingelly seeds, brown (Sesamum indicum)",516.48,9.76,21.61,43.22,17.21
"Gingelly seeds, white (Sesamum indicum)",519.59,10.83,21.7,43.05,16.99
Ground nut (Arachis hypogea),520.06,17.27,23.65,39.63,10.38
Mustard seeds (Brassica nigra),509.55,16.8,19.51,40.19,14.1
Linseeds (Linum usitatissimum),443.82,10.99,18.55,35.67,26.17
"Niger seeds, black (Guizotia abyssinica)",512.42,22.98,18.92,38.61,10.93
"Niger seeds, gray (Guizotia abyssinica)",508.59,20.59,18.34,39.53,10.96
Pine seed (Pinus sp.),594.15,26.77,12.55,48.79,3.79
Pistachio nuts (Pistacla vera),539.42,15.82,23.35,42.49,10.64
Safflower seeds (Carthamus tinctorius),473.46,30.18,17.66,30.87,13.49
Sunflower seeds (Helianthus annuus),586.27,6.85,23.53,51.85,10.8
Walnut (Juglans regia),671.35,10.14,14.92,64.27,5.39
Avocadopear (nut),144,32,2.5,0.7,0
Chilgoza,615,29,13.9,49.3,1
Coconut tender,41,6.3,0.9,1.4,0
Coconut milk,430,11.9,3.4,41,0
Coconut water,24,4.4,1.4,0.1,0
"Coconut meal, deoiled",312,47.9,23.8,2.8,9.8
Groundnut roasted,570,26.7,26.2,39.8,3.1
Groundnut cake,386,38.8,40.9,7.4,3.2
Piyal seeds,656,12.1,19,59.1,3.8
Water melon seeds (kernal),628,4.5,34.1,52.6,0.8
Adda seed (kernel),493,28.6,27.3,29.9,1.1
Jungli badam,0,0,11.4,35.5,0
Oysternut,689,0,29.7,63.3,0
Mango seed kernel,192,35.9,2.6,4.2,0.9
Roselle seeds,399,30.9,20.9,21.3,15.5
Bajjar bhang,392,61.6,17.2,8.5,2.2
Pumpkin seed,584,15.6,24.3,47.2,0.2
Okra (whole seed),0,0,21.1,17.9,23.4
Okra (kernel),0,0,38.9,36.5,0.8
Cleome viscosa defatted seed cake,0,0,20.4,0,7.2
Marking nut (kernel),587,28.4,26.4,36.4,1.4
Melon seeds,583,9.9,28.5,47.7,0
Coconut milk,22,4.9,0.3,0.3,0
"Hazelnuts, kernel only",650,6,14.1,63.5,6.9
"Seeds, lotus seeds, dried",332,64.5,15.4,1.97,0
"MIXED NUTS CASHEWS, ALMONDS, HAZELNUTS, PISTACHIOS, PECANS, MIXED NUTS",607,25,17.86,50,7.1
Chia seeds,534,28.88,18.29,42.16,27.3
ALMOND MILK,17,0.83,0.42,1.25,0.4
"Nuts, coconut water (liquid from coconuts)",19,3.71,0.72,0.2,1.1
Pumpkin seeds,565,15.2,24.4,45.6,0
"Jaggery, cane (Saccharum officinarum)",353.72,84.87,1.85,0.16,0
"Sugarcane, juice (Saccharum officinarum)",57.84,13.11,0.16,0.4,0.56
Sugar cane,398,99.4,0.1,0,0
Honey,319,79.5,0.3,0,0
Jaggery (coconut palm),340,83.5,1,0.2,0
Jaggery (date palm),353,86.1,1.5,0.3,0
Jaggery (fan palm),359,98.5,1,0.1,0
Jaggery (sago palm),349,84.7,2.3,0.1,0
Sago,351,87.1,0.2,0.2,0
"Ice cream, dairy, vanilla, soft scoop",169,22,3.2,8.2,0.2
"Sugar, white",394,105,0,0,0
"Sugar, brown",380,101.3,0.1,0,0
"Sugar, icing",393,104.9,0,0,0
"Syrup, corn, dark",282,76.6,0,0,0
Honey,288,76.4,0.4,0,0
"Sago, raw",355,94,0.2,0.2,0
"Chocolate, plain",510,63.5,5,28,0
"Candies, gum drops, no sugar or low calorie (sorbitol)",354,88.1,0,0.2,0
"TUTTI FRUTTI GUMBALLS, TUTTI FRUTTI",500,100,0,0,0
"Button mushroom, fresh (Agaricus sp.)",27.49,1.98,3.68,0.42,3.11
"Chicken mushroom, fresh (Lactiporus sp.)",21.27,2.76,1.84,0.25,1.99
"Shiitake mushroom, fresh (Lentinula sp.)",58.08,8.98,3.19,0.76,3.02
"Oyster mushroom, dried (Pleurotus sp.)",243.54,33.07,19.04,2.86,39.12
Toddy (Borassus flabellifer),24.14,5.72,0.18,0.03,0
Coconut Water (Cocos nucifera),15.3,3.16,0.26,0.16,0
Pachwai (assam),51,5.8,3,1.8,0.6
"Toddy, fermented",38,1.8,0.1,0.3,0
"Toddy, sweet",59,14.3,0.1,0.3,0
Neera,45,10.9,0.4,0,0
Baking powder,163,37.8,5.2,0,0
Bicarbonate of soda,0,0,0,0,0
"Spirits, 40% volume",222,0,0,0,0
Custard powder,354,92,0.6,0.7,0
Gelatine,338,0,84.4,0,0
"Water, distilled",0,0,0,0,0
"Stock cubes, chicken",0,0,15.4,15.4,0.6
"Stock cubes, vegetable",0,0,13.5,17.3,1.8
"Milk, whole, Buffalo",107.31,8.39,3.68,6.58,0
"Milk, whole, Cow",72.9,4.94,3.26,4.48,0
Paneer,257.88,12.41,18.86,14.78,0
Khoa,315.96,16.53,16.34,20.62,0
Milk ass's,48,6.5,2.1,1.5,0
Milk goat's,72,4.6,3.3,4.5,0
Milk human,65,7.4,1.1,3.4,0
Curds (cow's milk),60,3,3.1,4,0
Butter milk,15,0.5,0.8,1.1,0
"Skimmed milk, liquid",29,4.6,2.5,0.1,0
"Channa, cow's milk",265,1.2,18.3,20.8,0
"Channa, buffalo's milk",292,7.9,13.4,23,0
Cheese,348,6.3,24.1,25.1,0
Khoa (whole buffalo milk),421,20.5,14.6,31.2,0
Khoa (skimmed buffalo milk),206,25.7,22.3,1.6,0
Skimmed milk powder (cow's milk),357,51,38,0.1,0
Whole milk powder (cow's milk),496,38,25.8,26.7,0
"Cheese, Cheddar, English",416,0.1,25.4,34.9,0
"Cheese spread, cream cheese, regular",295,3.5,7.1,28.6,0
"Cheese, cottage, plain",103,3.1,9.4,6,0
"Cheese, Mozzarella, fresh",257,0,18.6,20.3,0
"Cheese, processed, plain",297,5,17.8,23,0
"Cheese, Feta",250,1.5,15.6,20.2,0
"Mayonnaise, standard, retail",686,2.4,1.1,74.8,0
"Milk, condensed, whole, sweetened",310,55.5,7.4,8,0
"Milk, evaporated, light",107,10.3,7.8,4.1,0
"Milk, skimmed, dried, fortified",348,52.9,36.1,0.6,0
"Cheese, Ricotta",144,2,9.4,11,0
"Cream, fresh, whipping",381,2.7,2,40.3,0
"Cheese, provolone",351,2.14,25.6,26.6,0
"Sour cream, regular",198,4.63,2.44,19.35,0
"Cream, fluid, light (coffee cream or table cream)",195,3.66,2.96,19.1,0
"Milk, dry, nonfat, regular, without added vitamin A and vitamin D",362,52,36.2,0.77,0
"Whey, acid, fluid",24,5.12,0.76,0.09,0
"Cheese, cream, low fat",208,6.73,7.85,16.7,0
"Cream, fresh, single",193,2.2,3.3,19.1,0
"Yogurt, whole milk, plain",79,7.8,5.7,3,0
"Milk, buttermilk, fluid, whole",62,4.88,3.21,3.31,0
"Egg, poultry, whole, raw",134.8,0,13.28,9.15,0
"Egg, poultry, white, raw",44.69,0,10.84,0.06,0
"Egg, poultry, yolk, raw",296.84,0,15.74,26.34,0
"Egg, poultry, whole, boiled",147.7,0,13.43,10.54,0
"Egg, poultry, white, boiled",52.58,0,12.37,0.26,0
"Egg, poultry, yolk, boiled",308.31,0,16.13,27.46,0
"Egg, poultry, omlet",169.69,0,16.53,11.6,0
"Egg, country hen, whole, raw",168.26,0,13.14,13,0
"Egg, country hen, whole, boiled",183.31,0,14.43,14.1,0
"Egg, country hen, omlet",204.35,0,14.8,16.3,0
"Egg, duck, whole, boiled",176.38,0,13.8,13.61,0
"Egg, duck, whole, raw",181.64,0,14.6,13.83,0
"Egg, duck, whole, omlet",192.16,0,15.1,14.8,0
"Egg, quial, whole, raw",151.77,0,12.39,11.46,0
"Egg, quial, whole, boiled",154.63,0,13.03,11.5,0
"Egg, turtle",124,3.6,12.2,6.7,0
"Chicken, poultry, leg, skinless",383.6,0,19.44,12.64,0
"Chicken, poultry, thigh, skinless",199.8,0,18.18,14.23,0
"Chicken, poultry, breast, skinless",168.26,0,21.81,9,0
"Chicken, poultry, wing, skinless",192.87,0,17.42,13.81,0
"Poultry, chicken, liver",123.8,0,21.57,4.08,0
"Poultry, chicken, gizzard",92.25,0,18.22,2.07,0
"Country hen, leg, with skin",172.8,0,17.01,11.73,0
"Country hen, thigh, with skin",187.62,0,18.29,12.82,0
"Country hen, breast, with skin",179.97,0,22.08,10.2,0
"Country hen, wing, with skin",182.6,0,18.65,12.09,0
"Duck, meat, with skin",130.73,0,19.07,6.03,0
"Emu, meat, skinless",132.88,0,22.65,4.62,0
"Guinea fowl, meat, with skin",112.09,0,20.52,3.24,0
"Pigeon, meat, with skin",126.19,0,17.94,6.03,0
"Quail, meat, skinless",137.66,0,20.92,5.95,0
"Turkey, leg, with skin",154.63,0,20.3,8.15,0
"Turkey, thigh, with skin",138.86,0,20.46,6.31,0
"Turkey, breast, with skin",160.37,0,21.96,8.04,0
"Turkey, wing, with skin",184.27,0,21.91,10.77,0
Buffalo meat,86,0,19.4,0.9,0
Finch,133,0,26.6,3,0
Fowl,109,0,25.9,0.6,0
Goat meat (lean),118,0,21.4,3.6,0
Grey quail,103,0,21.9,1.7,0
Ruff and reeve,124,0,25.9,2.3,0
"Snail, small",74,3.7,12.6,1,0
"Snail, big",97,12.4,10.5,0.6,0
Turtle's meat,86,1.5,16.5,1.5,0
Venison,97,1.9,21,0.6,0
Boordood,598,0,49.3,44.5,0
Dhauns,82,0,19.6,0.4,0
Field rat's meat,104,0.1,23.6,1,0
Meat of narrow snouted crocodile,87,0.3,20.6,0.4,0
Red ants with egg,131,9.1,13.4,4.6,0
Wood sand piper,117,1.5,22.9,2.1,0
Yeast dried (brewer's),320,39.1,39.5,0.6,0.2
Yeast dried (food),344,46.3,35.7,1.8,0
"Chicken, whole, corn-fed, raw, meat and skin, weighed with bone",142,0,12.2,10.3,0
"Goat, shoulder",188.09,0,20.33,11.94,0
"Goat, chops",135.75,0,20.39,5.98,0
"Goat, legs",159.89,0,22.07,7.94,0
"Goat, brain",127.39,0,13.82,8.06,0
"Goat, tongue",188.57,0,16.63,13.68,0
"Goat, lungs",95.84,0,16.86,3.09,0
"Goat, heart",117.59,0,19.38,4.4,0
"Goat, liver",125.71,0,20.32,4.88,0
"Goat, tripe",92.25,0,15.36,3.36,0
"Goat, spleen",95.84,0,18.45,2.37,0
"Goat, kidneys",89.39,0,15.6,2.93,0
"Goat, tube (small intestine)",125.48,0,12.92,8.26,0
"Goat, testis",71.22,0,12.32,2.39,0
"Sheep, shoulder",200.76,0,18.24,14.31,0
"Sheep, chops",118.54,0,18,5.15,0
"Sheep, leg",163.95,0,21.42,8.69,0
"Sheep, brain",117.59,0,13.05,7.29,0
"Sheep, tongue",187.14,0,16.61,13.53,0
"Sheep, lungs",86.76,0,16.12,2.41,0
"Sheep, heart",106.36,0,18.19,3.66,0
"Sheep, liver",133.6,0,22.26,4.87,0
"Sheep, tripe",103.97,0,16.76,4.05,0
"Sheep, spleen",91.78,0,16.02,3.02,0
"Sheep, kidneys",91.78,0,16.22,2.92,0
"Beef, shoulder",212.47,0,20.56,14.59,0
"Beef, chops",139.82,0,19.82,6.71,0
"Beef, round (leg)",157.26,0,22.64,7.38,0
"Beef, brain",125,0,10.55,9.28,0
"Beef, tongue",174.71,0,15.63,12.57,0
"Beef, lungs",83.89,0,15.66,2.28,0
"Beef, heart",103.49,0,17.68,3.57,0
"Beef, liver",119.26,0,20.73,3.96,0
"Beef, tripe",75.52,0,13.1,2.51,0
"Beef, spleen",90.34,0,17.42,2.22,0
"Beef, kidneys",104.92,0,17.09,4.01,0
"Calf, shoulder",151.29,0,20.98,7.47,0
"Calf, chops",125.24,0,22.47,3.85,0
"Calf, round (leg)",146.99,0,21.1,6.92,0
"Calf, brain",107.07,0,9.84,7.6,0
"Calf, tongue",176.14,0,17.78,11.76,0
"Calf, heart",109.7,0,18.84,3.75,0
"Calf, liver",120.22,0,21.02,3.95,0
"Calf, spleen",90.58,0,17.71,2.12,0
"Calf, kidneys",92.49,0,15.16,3.5,0
"Mithun, shoulder",175.9,0,19.05,11.14,0
"Mithun, chops",128.1,0,18.19,6.12,0
"Mithun, round (leg)",115.92,0,19.61,4.1,0
"Pork, shoulder",237.33,0,17.41,18.83,0
"Pork, chops",178.77,0,19.41,11.3,0
"Pork, ham",240.43,0,18.83,18.55,0
"Pork, lungs",85.56,0,15.13,2.74,0
"Pork, heart",109.22,0,16.31,4.87,0
"Pork, liver",115.68,0,19.89,3.94,0
"Pork, stomach",131.45,0,15.36,7.81,0
"Pork, spleen",85.32,0,15.13,2.71,0
"Pork, kidneys",90.58,0,14.35,3.65,0
"Pork, tube (small intestine)",140.29,0,14.96,8.98,0
"Hare, shoulder",144.12,0,21.13,6.58,0
"Hare, chops",106.36,0,20.62,2.55,0
"Hare, leg",120.22,0,20.52,4.16,0
"Rabbit, shoulder",151.77,0,20.01,7.96,0
"Rabbit, chops",135.04,0,22.61,4.88,0
"Rabbit, leg",139.58,0,21.31,5.99,0
"Mutton, muscle",194,0,18.5,13.3,0
"Bacon rashers, back, raw",215,0,16.5,16.5,0
Ham,107,1,18.4,3.3,0.1
"Lamb, mince, raw",196,0,19.1,13.3,0
Salami,438,0.5,20.9,39.2,0.4
"Sausages, premium, raw",254,2.6,13.8,21,0.5
Allathi (Elops machnata),97.03,0,21.77,0.98,0
Aluva (Parastromateus niger),103.73,0,21.63,1.8,0
Anchovy (Stolephorus indicus),87.71,0,19.88,0.78,0
Ari fish (Aprion virescens ),99.19,0,22.01,1.11,0
Betki (Lates calcarifer),67.88,0,15.28,0.29,0
Black snapper (Macolor niger),90.1,0,19.5,1.24,0
Bombay duck (Harpadon nehereus),68.59,0,13.53,1.03,0
Bommuralu (Muraenesox cinerius),115.92,0,22.3,2.87,0
Cat fish (Tachysurus thalassinus),108.98,0,22.18,2.13,0
Chakla (Rachycentron canadum),97.03,0,20.21,1.68,0
Chappal (Aluterus monoceros ),75.76,0,17.17,0.67,0
Chelu (Elagatis bipinnulata),87.47,0,20.02,0.7,0
Chembali (Lutjanus quinquelineatus),97.03,0,20.06,1.77,0
Eri meen (Pristipomoides filamentosus),108.51,0,22.3,2.02,0
Gobro (Epinephelus diacanthus),86.52,0,19.37,0.88,0
Guitar fish (Rhinobatus prahli),95.6,0,22.56,0.44,0
Hilsa (Tenualosa ilisha),258.84,0,21.8,18.49,0
Jallal (Arius sp.),100.38,0,21.55,1.46,0
Jathi vela meen (Lethrinus lentjan),108.27,0,22.45,1.92,0
Kadal bral (Synodus indicus),87.95,0,18.72,1.34,0
Kadali (Nemipterus mesoprion),126.67,0,22.07,4.2,0
Kalamaara (Leptomelanosoma indicum),125,0,20.89,4.54,0
Kalava (Epinephelus coioides),89.39,0,19.38,1.2,0
Kanamayya (Lutjanus rivulatus),87.71,0,20.19,0.65,0
Kannadi paarai (Alectis indicus),101.1,0,22.09,1.27,0
Karimeen (Etroplus suratensis),92.25,0,19.68,1.38,0
Karnagawala (Anchoa hepsetus),86.76,0,19.52,0.84,0
Kayrai (Thunnus albacores),108.51,0,20.15,3,0
Kiriyan (Atule mate),132.88,0,22.49,4.7,0
Kite fish (Mobula kuhlii),98.71,0,23.07,0.56,0
Korka (Terapon jarbua),126.19,0,23.72,3.36,0
Kulam paarai (Carangoides fulvoguttatus),119.74,0,21.62,3.6,0
Maagaa (Polynemus plebeius),87.47,0,20.11,0.67,0
Mackerel (Rastrelliger kanagurta),101.1,0,21.51,1.53,0
Manda clathi (Naso reticulatus),95.12,0,21.27,1,0
Matha (Acanthurus mata),92.97,0,21.17,0.79,0
Milk fish (Chanos chanos),105.64,0,23.66,1.09,0
Moon fish (Mene maculata),125.71,0,20.74,4.69,0
Mullet (Mugil cephalus),93.93,0,20.23,1.32,0
Mural (Tylosurus crocodilus),82.46,0,19.04,0.58,0
Myil meen (Istiophorus platypterus),97.99,0,22.89,0.56,0
Nalla bontha (Epinephelus sp.),87,0,19.82,0.72,0
Narba (Caranx sexfasciatus),103.25,0,21.95,1.6,0
Paarai (Caranx heberi),103.97,0,21.58,1.84,0
Padayappa (Canthidermis maculata),86.04,0,19.7,0.69,0
